Family	Parent 1	Parent 2	Offspring	Offspring	Offspring	Offspring
1	93.6	96.7	92.6	93.2	94.8	95.4
2	98.6	92.2	92.4	94.8	96.3	98.4
3	91.8	87.1	90.4	91.6	89.4	93.4
4	88.5	86.6	88.2	87.6	92.8	91.7
5	90.7	95.8	92.2	93.3	95.5	94.9
6	88.3	90.3	91.4	90.4	89.3	89.7
7	96.7	94.8	97.7	96.8	97.7	94.4
8	97.2	91.3	96.6	95.3	98.5	93.2
9	86.4	82.8	88.5	85.5	84.3	82.3
10	85.7	87.0	88.8	84.8	85.2	87.7
11	93.9	98.4	93.9	96.2	92.1	97.6
12	95.4	83.8	85.3	85.5	93.8	86.5
13	90.3	96.6	93.7	96.3	92.9	95.8
14	93.4	98.8	96.4	97.4	95.4	96.8
15	97.0	94.1	98.2	97.8	94.3	95.4
16	89.9	90.4	90.1	89.6	89.8	92.5
17	94.7	92.7	90.6	93.3	95.5	92.3
18	94.5	87.5	92.4	93.8	89.2	89.5
19	89.3	83.6	85.6	84.2	85.3	87.5
20	94.6	96.9	93.3	95.3	96.2	94.6
